Property Name,Address,Phone,Phone 2,Phone 3,HotelRating,state,cityName,timezone
Big Meadows Lodge,"Skyline Dr Skyline Drive, Mile 51Virginia 22835 ",877-247-9261,,,ThreeStar,virginia,"Luray,   Virginia",Eastern
Hotel 99,244 West 99Th Street New YorkNew York 10025 ,877-249-9466,,,TwoStar,new york,"New York,   New York",Eastern
Grand Bohemian Hotel Charleston Autograph Collection,55 Wentworth Street CharlestonSouth Carolina 29401 ,877-253-2859,,,FourStar,south carolina,"Charleston,   South Carolina",Eastern
Sunglow Resort,South Atlantic Avenue 3647 32118 Daytona Beach Daytona Beach Shores32118-7601 Florida ,877-255-6848,,,ThreeStar,florida,"Daytona Beach,   Florida",Eastern
Ann Street Inn,707 Ann Street BeaufortNorth Carolina  28516 ,877-266-7814,,,ThreeStar,north carolina,"Jacksonville,   North Carolina",Eastern
Hideaway Village,5607 Estero Boulevard Fort Myers BeachFlorida 33931 ,877-274-5767,,,TwoStar,florida,"Fort Myers,   Florida",Eastern
Boardwalk by Surfside VR,1100 Fort Pickens Rd  ,877-277-6875,,,All,florida,"Pensacola,   Florida",Eastern
Edgewater Beach and Golf Resort by Resort Collection,11212 Front Beach Rd Panama City BeachFlorida 32407 ,877-278-0542,,,ThreeStar,florida,"Panama City,   Florida",Eastern
The Hill House Bed & Breakfast,110 Holy Cross Road LorettoKentucky 40037 ,877-280-2300,,,FourStar,kentucky,"Lebanon,   Kentucky",Eastern
Fairville Inn,506 Kennett Pike Chadds FordPennsylvania 19317 ,877-285-7772,,,ThreeStar,pennsylvania,"Chadds Ford,   Pennsylvania",Eastern
The Kerr House,Davie Avenue 519 519 Statesville 28677North Carolina ,877-308-0353,,,ThreeStar,north carolina,"Hickory,   North Carolina",Eastern
Bristol Suites,19 Main Street BristolVermont 05443 ,877-318-6116,,,All,vermont,"Bristol,   Vermont",Eastern
The Buckhorn Inn,2487 Hankey Mountain Highway Route 250ChurchvilleVirginia 24421 ,877-337-8660,,,ThreeStar,virginia,"Staunton,   Virginia",Eastern
Island House Beach Resort,6150 Midnight Pass Road Siesta KeySarasotaFlorida 34242 ,877-349-6101,,,ThreeStar,florida,"Sarasota,   Florida",Eastern
Sunny Palms Inn,1700 South Federal Highway Lake Worth ,877-350-0053,,,TwoStar,florida,"Lake Worth,   Florida",Eastern
Palmetto Shores Resort,"North Ocean Boulevard,1706 MYRTLE BEACH ",877-355-6503,,,ThreeStar,south carolina,"Myrtle Beach,   South Carolina",Eastern
Luxy Suites Washington,475 Washington Blvd  ,877-358-9730,,,FourStar,new jersey,"Jersey City,   New Jersey",Eastern
Misty Valley Inn,194894 Highway 101 PO Box 2239ForksWashington 98331 ,877-374-9389,,,All,district of columbia,"Washington,   District of Columbia",Eastern
Top Notch At Attitash Bartlett,520 Us Route 302  ,877-383-4111,,,All,new hampshire,"Bartlett,   New Hampshire",Eastern
The Proctor Mansion Inn,36 Common Street WrenthamMassachusetts 02093 ,877-384-1861,,,ThreeStar,massachusetts,"Wrentham,   Massachusetts",Eastern
New Latitude,16500 Captiva Drive CaptivaFlorida 33924 ,877-388-5050,,,All,florida,"Captiva Island,   Florida",Eastern
Bernerhof Inn Bed and Breakfast,342 US Route 302 PO Box 240GlenNew Hampshire 03838 ,877-389-4852,,,ThreeStar,new hampshire,"Bartlett,   New Hampshire",Eastern
Orlando Vacation Condos,Various Addresses  ,877-389-9220,,,ThreeStar,florida,"Kissimmee,   Florida",Eastern
Lily Garden Bed And Breakfast,701 Washington St At McDowell St At Mcdowell Street25425 Harpers FerryWest Virginia ,877-394-7484,,,TwoStar,west virginia,"Harpers Ferry,   West Virginia",Eastern
Duval Inn Key West,511 Angela Street Key WestFlorida 33040 ,877-418-6900,,,All,florida,"Key West,   Florida",Eastern
Triple T Western Bed & Breakfast,6717 Township Road 215 FindlayOH 45840 ,877-424-1418,,,ThreeStar,ohio,"Findlay,   Ohio",Eastern
Seascape Resort,556 Seascape Drive Miramar BeachDestinFlorida 32550 ,877-424-2617,,,FourStar,florida,"Miramar Beach,   Florida",Eastern
Quality Inn & Suites Conference Center,2363 Oregon Pike Lancaster Pa 17601 Lancaster 17601-4608Pennsylvania ,877-424-6423,,,TwoStar,pennsylvania,"Lancaster,   Pennsylvania",Eastern
Churchill Suites Intracoastal Yacht Club,16900 North Bay Road  ,877-424-7848,,,ThreeStar,florida,"Miami,   Florida",Eastern
Cedar Grove Lodge,86729 California 180 Kings Canyon National ParkCalifornia ,877-436-9615,,,TwoStar,maryland,"California,   Maryland",Eastern
Tuggles Folly Bed and Breakfast,9377 Holmes Hill Road AuroraIndiana 47001 ,877-438-9393,,,TwoStar,ohio,"Akron,   Ohio",Eastern
Seneca Snowshoe,10 Snowshoe Drive Building 8 Snowshoe 26209West Virginia ,877-441-4386,,,ThreeStar,west virginia,"Snowshoe,   West Virginia",Eastern
Killington Grand Resort Hotel,Killington Road 4763 05751 Killington Vermont KillingtonVermont 05751 ,877-458-4637,,,ThreeStar,vermont,"Killington,   Vermont",Eastern
The Queen Anne Inn,406 Greene Street AugustaGeorgia 30901 ,877-460-0045,,,TwoStar,georgia,"Augusta,   Georgia",Eastern
Architects Inn George Champlin Mason House Bed And Breakfast,2 Sunnyside Place NewportRhode Island 02840 ,877-466-2547,,,ThreeStar,rhode island,"Newport,   Rhode Island",Eastern
The Ledge House B&b,280 Henry Clay Street Harpers FerryWest Virginia 25425 ,877-468-4236,,,TwoStar,west virginia,"Harpers Ferry,   West Virginia",Eastern
Breakers East Condominium,"Hwy 98 East 1010,1010 DESTIN ",877-470-1010,,,ThreeStar,florida,"Destin,   Florida",Eastern
Wyndham Grand Bay,2669 South Bayshore Drive 33133 Miami  ,877-474-7683,,,FourStar,florida,"Miami,   Florida",Eastern
The Palmetto Inn,381 Palm Avenue Boca GrandeFlorida 33921 ,877-490-6373,,,All,florida,"Boca Grande,   Florida",Eastern
Camden Windward House,6 High Street CamdenMaine 04843 ,877-492-9656,,,All,north carolina,"Camden,   North Carolina",Eastern
Value Place Homestead,2750 Ne 8Th Street HomesteadFlorida 33030 ,877-497-5223,,,TwoStar,florida,"Homestead,   Florida",Eastern
Harbor Mist Motel,511 East 11th Avenue North Wildwood 08260New Jersey ,877-517-2022,,,TwoStar,new jersey,"North Wildwood,   New Jersey",Eastern
Ej Bowman House Bed & Breakfast,2674 Lititz Pike LancasterPennsylvania 17601 ,877-519-1776,,,TwoStar,pennsylvania,"Lancaster,   Pennsylvania",Eastern
The Waldo Emerson Inn,108 Summer St KennebunkMaine 04043 ,877-521-8776,,,ThreeStar,north carolina,"Kennebunk,   North Carolina",Eastern
Best Western Plus Seaport Inn Downtown,33 Peck Slip New York CityNew York 10038 ,877-528-4249,,,FiveStar,new york,"New York,   New York",Eastern
Kings Creek Plantation,191A Cottage Cove Lane WilliamsburgVA 23185 ,877-557-3529,,,ThreeStar,virginia,"Williamsburg,   Virginia",Eastern
Indian Lakes RV Campground,7234 E State Road Highway 46 BatesvilleIndiana 47006 ,877-570-2267,,,All,indiana,"Batesville,   Indiana",Eastern
Green Creek Inn and RV Park,2908 North Fork Highway WapitiCodyWyoming 82414 ,877-587-5004,,,TwoStar,new jersey,"Cody,   New Jersey",Eastern
The Lodge at Turbat's Creek,7 Turbat's Creek Road PO Box 2722KennebunkportMaine 04046 ,877-594-5634,,,TwoStar,north carolina,"Kennebunkport,   North Carolina",Eastern
Outer Banks Motor Lodge,1509 South Virginia Dare Trail Kill Devil HillsNoth Carolina 27948 ,877-625-6343,,,TwoStar,north carolina,"Kill Devil Hills,   North Carolina",Eastern
Island Sands 206 OKA Condo,862 Scallop Court Fort Walton BeachFlorida 32548 ,877-640-0052,,,ThreeStar,florida,"Ft. Walton,   Florida",Eastern
Home2 Suites by Hilton Cincinnati Blue Ash,Cornell Park Drive 11237 11235 Blue AshCincinnatiOhio 45242 ,877-646-6302,,,ThreeStar,ohio,"Blue Ash,   Ohio",Eastern
Mirbeau Inn & Spa at The Pinehills,35 Landmark Dr PlymouthMassachusetts 02360 ,877-647-2328,,,FourStar,massachusetts,"Plymouth,   Massachusetts",Eastern
Florence Inn And Suites,3821 Bancroft Road I-95 Exit 157FlorenceSC 29501 ,877-665-9494,,,TwoStar,south carolina,"Florence,   South Carolina",Eastern
Cedars Tennis Resort & Club,645 Cedars Court Longboat KeyFlorida ,877-670-1778,,,ThreeStar,florida,"Longboat Key,   Florida",Eastern
Plantation Motel,2815 Cleveland Road E HuronOhio 44839 ,877-677-2770,,,OneStar,ohio,"Huron,   Ohio",Eastern
Southern Elegance Bed and Breakfast Inn,West Robert Toombs Ave 115 115 WashingtonGeorgia 30673 ,877-678-4775,,,ThreeStar,georgia,"Washington,   Georgia",Eastern
Fairbridge Inn Express,591 Routes 6 And 209 MilfordPennsylvania 18337 ,877-682-4791,,,TwoStar,pennsylvania,"Milford,   Pennsylvania",Eastern
Bahama Sands Luxury Condominiums by Oceana Resorts,1321 S Ocean Blvd North Myrtle BeachSouth Carolina 29582 ,877-692-7339,,,ThreeStar,south carolina,"Myrtle Beach,   South Carolina",Eastern
Gallery Bethesda,4800 Auburn Avenue BethesdaMaryland 20814 ,877-706-8091,,,FourStar,maryland,"Bethesda,   Maryland",Eastern
Beach Apartments,720 Lenox Ave Miami BeachFlorida 33139 ,877-707-0461,,,ThreeStar,florida,"Miami,   Florida",Eastern
Paradise Oceanfront Hotel,1907 North Surf Road Hollywood (Florida) ,877-708-5870,,,TwoStar,florida,"Hollywood Beach/Fort Lauderdale,   Florida",Eastern
Beach View Inn,101 Ocean Boulevard Hampton BeachNew Hampshire 03842 ,877-718-4604,,,TwoStar,new hampshire,"Hampton,   New Hampshire",Eastern
1825 Inn Bed and Breakfast,409 South Lingle Avenue PalmyraPA 17078 ,877-738-8282,,,ThreeStar,pennsylvania,"Palmyra,   Pennsylvania",Eastern
The Beach Shack,205 W Beach Ave Cape MayNew Jersey 08204 ,877-742-2507,,,ThreeStar,new jersey,"Cape May,   New Jersey",Eastern
Paradise Hills Winery Resort & Spa,366 Paradise Road BlairsvilleGeorgia 30512 ,877-745-7483,,,TwoStar,georgia,"Blairsville,   Georgia",Eastern
Palmetto Inn,344 Wyman Blvd EstillSouth Carolina 29918 ,877-747-8713,,,All,south carolina,"Estill,   South Carolina",Eastern
Superior Gramercy Apartments,241 East 26Th Street  ,877-748-4040,,,All,new york,"New York,   New York",Eastern
Sunbrite Apartments,1330 Pennsylvania Avenue Miami BeachFlorida 33139 ,877-762-3477,,,ThreeStar,florida,"Miami,   Florida",Eastern
The Tower Cottage Bed And Breakfast,203 Forman Avenue Point Pleasant BeachNew Jersey 08742 ,877-766-2693,,,FourStar,new jersey,"Point Pleasant Beach,   New Jersey",Eastern
2 Br: Whistlepunk 17,17 Whistlepunk Dr.  ,877-766-9661,,,FourStar,west virginia,"Snowshoe,   West Virginia",Eastern
Eagles View B&B,45 Glen Eagle Drive BurnsideKentucky 42519 ,877-767-9966,,,ThreeStar,kentucky,"Burnside,   Kentucky",Eastern
Hollywood Casino Bangor,500 Main Street BangorMaine 04401 ,877-779-7771,,,ThreeStar,north carolina,"Bangor,   North Carolina",Eastern
Watermark Kendall West,350 Third Street CambridgeMassachusetts 02142 ,877-780-5346,,,FourStar,massachusetts,"Boston,   Massachusetts",Eastern
Treehouse Bryson City,Watershed Road Bryson CityNorth Carolina 28713 ,877-784-0688,,,All,north carolina,"Bryson City,   North Carolina",Eastern
Highlander Motor Inn,3336 Wilson Boulevard ArlingtonVirginia 22201 ,877-786-4301,,,TwoStar,virginia,"Arlington,   Virginia",Eastern
Admirals View at Captains Row,58 Captains Row Tybee IslandGeorgia 31328 ,877-786-4542,,,ThreeStar,georgia,"Savannah,   Georgia",Eastern
The Inn At Hickory Run,9 Tribbles Lane RR1Box 82BWhite Haven ,877-797-3618,,,ThreeStar,pennsylvania,"White Haven,   Pennsylvania",Eastern
Granada Inn,3011 Granada Street Fort LauderdaleFlorida 33304 ,877-800-5552,,,FourStar,florida,"Fort Lauderdale,   Florida",Eastern
Carson Ridge Luxury Cabins,1261 Wind River Road CarsonWashington 98610 ,877-816-7908,,,All,district of columbia,"Washington,   District of Columbia",Eastern
Seaport RV Resort and Campground,45 Camp Ground Road MysticConnecticut 06372 ,877-817-5696,,,FourStar,connecticut,"Mystic,   Connecticut",Eastern
Wylder Hotel Tilghman Island,21551 Chesapeake House Drive TilghmanMaryland 21671 ,877-818-1922,,,ThreeStar,maryland,"Tilghman Island,   Maryland",Eastern
Tampa East RV Resort Campground,"4630 Mcintosh Rd. DoverFlorida, FL 33527 ",877-818-6170,,,TwoStar,florida,"Seffner,   Florida",Eastern
Paradise Inn Key West Adults Only,819 Simonton Street Key WestFlorida 33040 ,877-819-4622,,,ThreeStar,florida,"Key West,   Florida",Eastern
Three Lakes RV Resort,10354 Smooth Water Drive HudsonFlorida 34667 ,877-819-9502,,,ThreeStar,florida,"Hudson,   Florida",Eastern
Tangerine,3901 Riverside Drive Burbank 91505 ,877-843-1121,,,TwoStar,maryland,"California,   Maryland",Eastern
Clichy Inn Bed And Breakfast,317 West Front Street StatesvilleNorth Carolina 28677 ,877-843-9267,,,ThreeStar,north carolina,"Hickory,   North Carolina",Eastern
Sand Dunes Resort Hotel,201 74th Avenue North Myrtle BeachSouth Carolina 29572 ,877-845-6701,,,ThreeStar,south carolina,"Myrtle Beach,   South Carolina",Eastern
Ovation at Park Crest by Bridgestreet,8231 Crestwood Heights Drive McLean 22102 ,877-853-6454,,,ThreeStar,virginia,"McLean,   Virginia",Eastern
Ocean Lodge Hotel & Apartments,801 North Philadelphia Avenue 21842 Ocean City (Maryland) ,877-853-8746,,,TwoStar,maryland,"Ocean City,   Maryland",Eastern
Inns At The Equinox,3567 Main Street Route 7A Manchester VillageVermont 05254 ,877-854-7625,,,FourStar,vermont,"Bennington,   Vermont",Eastern
Perdido Sun by Luxury Coastal Vacations,137532 Perdido Key Drive PensacolaFL 32507 ,877-859-0113,,,FourStar,florida,"Pensacola,   Florida",Eastern
Oakwood at Hartford 21,221 Trumbull Street HartfordConnecticut 06103-1500 ,877-902-0832,,,ThreeStar,connecticut,"Hartford,   Connecticut",Eastern
Bella Luna,29531 Perdido Beach Boulevard Orange BeachAlabama 36561 ,877-934-8354,,,FourStar,florida,"Pensacola,   Florida",Eastern
Holiday Inn Resort Beach House,1 S Forest Beach Dr Hilton HeadSouth Carolina 29928 ,877-935-1725,,,ThreeStar,south carolina,"Hilton Head Island,   South Carolina",Eastern
Waikiki Village,1500 South Ocean Boulevard Myrtle BeachSouth Carolina 29577 ,877-935-6383,,,All,south carolina,"Myrtle Beach,   South Carolina",Eastern
Big Splash Adventure Indoor Water Park & Resort,8505 W State Road 56 French LickIndiana 47432 ,877-936-3866,,,ThreeStar,indiana,"French Lick,   Indiana",Eastern
Petit Logis Inn,6527 Yount Street YountvilleCA 94599 ,877-944-2332,,,ThreeStar,maryland,"California,   Maryland",Eastern
Basnett Villa 7787,7787 Basnett Circle  ,877-950-0022,,,All,florida,"Kissimmee,   Florida",Eastern
Anchorage 1770,1103 Bay Street BeaufortSouth Carolina 29902 ,877-951-1770,,,All,south carolina,"Beaufort,   South Carolina",Eastern
Yosemite Pines,7292 Black Oak Lane  ,877-962-7690,,,All,maryland,"California,   Maryland",Eastern
The Chateau Inn and Suites,500 Warren Avenue Spring LakeNew Jersey 07762 ,877-974-5253,,,ThreeStar,new jersey,"Spring Lake,   New Jersey",Eastern
Oglethorpe Lodge,117 East Bay Street SavannahGA 31401 ,877-982-2481,,,TwoStar,georgia,"Savannah,   Georgia",Eastern
Coral Reef Club by Panhandle Getaways,2708 Scenic Highway 98 DestinFlorida 32541 ,877-982-6725,,,All,florida,"Destin,   Florida",Eastern
Hidden Valley Inn Indiana,201 North Van Buren Street NashvilleIndiana 47448 ,877-988-9099,,,TwoStar,indiana,"Columbus,   Indiana",Eastern
Wyndham Garden Atlanta Downtown,175 Piedmont Avenue Ne 30303 Atlanta AtlantaGeorgia 30303 ,877-999-3223,,,ThreeStar,georgia,"Atlanta,   Georgia",Eastern
H Beach Resort Rentals,4111 S. Ocean Drive HollywoodFlorida 33019 ,878-444-2971,,,FourStar,florida,"Hollywood Beach/Fort Lauderdale,   Florida",Eastern
Silver Bear 20,527 Lakeview Blvd. Unit 20 Mammoth LakesInyo National ForestCalifornia 93546 ,888-204-4692,,,All,maryland,"California,   Maryland",Eastern
See Sea Motel,1234 South Virginia Dare Trail Kill Devil HillsNorth Carolina 27948 ,888-215-6768,,,TwoStar,north carolina,"Kill Devil Hills,   North Carolina",Eastern
Marriott Execustay Aventine at Courthouse Square,26 Davenport Drive StaffordVirginia 22554 ,888-220-0301,,,ThreeStar,virginia,"Stafford,   Virginia",Eastern
The Tranquility Palms Inn,591 10th Place Vero BeachFlorida 32960 ,888-221-1090,,,All,florida,"Vero Beach,   Florida",Eastern
Provident Luxury Suites Fisher Island,13 Fisher Island Dr Miami BeachFlorida 33109 ,888-222-2206,,,FourStar,florida,"Fisher Island,   Florida",Eastern
Bay Harbor Village Hotel & Conference Center,"4160 Main Street located on Little Traverse Bay, between Petoskey and CharlevoixBay HarborEmmet County ",888-229-4272,,,All,michigan,"Bay Harbor,   Michigan",Eastern
Travelers Budget Inn Pocomoke,Ocean Hwy 912 912 21851 Pocomoke City PocomokeMaryland 21851 ,888-236-2427,,,OneStar,maryland,"Pocomoke City,   Maryland",Eastern
Campbell House B&b,305 East Main Street LigonierPennsylvania 15658 ,888-238-9812,,,TwoStar,pennsylvania,"Greensburg,   Pennsylvania",Eastern
Emerald Towers West,780 Sundial Court Fort Walton BeachFlorida 32548 ,888-244-4137,,,All,florida,"Ft. Walton,   Florida",Eastern
Coombs Inn and Suites,80 6Th Street ApalachicolaFlorida 32320 ,888-244-8320,,,ThreeStar,florida,"Apalachicola,   Florida",Eastern
Mt Liberty Cabins and Motel,10 Liberty Road LincolnNew Hampshire 03251 ,888-247-5212,,,TwoStar,new hampshire,"Lincoln,   New Hampshire",Eastern
Smugglers Cove Condo,5100 Estero Boulvard Fort Myers BeachFlorida 33931 ,888-251-2394,,,ThreeStar,florida,"Fort Myers,   Florida",Eastern
Oak Island Cove,2802 Playing Otter Court KissimmeeFlorida 34747 ,888-264-2689,,,FourStar,florida,"Kissimmee,   Florida",Eastern
San Jose Safehouse Suites,88 E San Fernando Street San JoseCalifornia 95113 ,888-271-9322,,,FiveStar,maryland,"California,   Maryland",Eastern
Universal s Endless Summer Resort Surfside Inn and Suites,7000 Universal Boulevard 32819 Orlando OrlandoFlorida 32819 ,888-273-1311,,,ThreeStar,florida,"Orlando,   Florida",Eastern
The Vanderbilt Hotel Suites,990 Corporate Drive WestburyNew York 11590 ,888-278-6994,,,FiveStar,new york,"Westbury,   New York",Eastern
Inn at 34,34 South 2nd Street HudsonNew York 12534 ,888-279-0365,,,TwoStar,new york,"Hudson,   New York",Eastern
Ashford Inn Bed And Breakfast,"College Street, 615 CLINTON ",888-288-4346,,,ThreeStar,north carolina,"Clinton,   North Carolina",Eastern
Mainstay Suites Logan Ohio Hocking Hills,12830 Grey Street  ,888-290-9003,,,TwoStar,ohio,"Athens,   Ohio",Eastern
The Lexington at Market Square,400 8th Street North West WashingtonDistrict of Columbia 20004 ,888-296-8969,,,ThreeStar,district of columbia,"Washington,   District of Columbia",Eastern
Bear Creek Cabins,6993 Highway 140 PO Box 28095345 Midpines ,888-303-6993,,,TwoStar,maryland,"California,   Maryland",Eastern
Holiday Inn Express & Suites South Lake Buena Vista,5001 Calypso Cay Way KissimmeeFlorida 34746 ,888-304-5001,,,TwoStar,florida,"Kissimmee,   Florida",Eastern
Black Lantern,57 Elm Street TopshamMaine 04086 ,888-306-4165,,,ThreeStar,north carolina,"Topsham,   North Carolina",Eastern
Hotel 309,309 West 14th Street New YorkNew York 10014 ,888-309-4683,,,TwoStar,new york,"New York,   New York",Eastern
Wyndham Garden Long Island City,44-29 9th Street Long Island CityNew York 11101 ,888-310-2100,,,ThreeStar,new york,"Long Island City,   New York",Eastern
La Quinta Inn & Suites by Wyndham South Bend near Notre Dame,"52554 State Road 933 , South Bend 46637, United States ",888-312-2399,,,TwoStar,indiana,"South Bend,   Indiana",Eastern
Chestnut Hill Bed & Breakfast,"Caroline Street 236, 236 ORANGE ",888-315-3511,,,ThreeStar,virginia,"Charlottesville,   Virginia",Eastern
Meridian At Pentagon City,1221 S. Eads St. ArlingtonVirginia 22202 ,888-321-6467,,,ThreeStar,virginia,"Arlington,   Virginia",Eastern
Outer Banks Inn,1003 S Croatan Hwy Kill Devil HillsNC 27948 ,888-322-9702,,,TwoStar,north carolina,"Kill Devil Hills,   North Carolina",Eastern
Cooper House Bed & Breakfast Inn,"1184 Church Street Po Box 1388 Angels Camp, CA 95222 ",888-330-3764,,,ThreeStar,maryland,"California,   Maryland",Eastern
Ed & Ellens Lodgings Key Largo,103365 Overseas Highway Key LargoFlorida 33037 ,888-333-5536,,,TwoStar,florida,"Key Largo,   Florida",Eastern
The Julia,336 Collins Avenue Miami BeachFlorida 33139 ,888-336-9841,,,ThreeStar,florida,"Miami,   Florida",Eastern
Fernwood Resort,6148 Milford Road BushkillStroudsburgPennsylvania 18324 ,888-337-6966,,,ThreeStar,pennsylvania,"East Stroudsburg,   Pennsylvania",Eastern
Windwood Fly In Resort,43 Amelia Drive Cortland Road DavisWest Virginia 26260 ,888-359-4667,,,TwoStar,west virginia,"Davis,   West Virginia",Eastern
Beach Shell Inn,2610 Estero Boulevard Fort Myers BeachFlorida 33931 ,888-364-0202,,,TwoStar,florida,"Fort Myers,   Florida",Eastern
The Olympia Lodge,7259 Main Street Historic US Route 7AManchesterVT 05255 ,888-365-9674,,,TwoStar,vermont,"Bennington,   Vermont",Eastern
WorldMark Deer Harbor,31 Jack And Jill Place  ,888-376-4480,,,ThreeStar,district of columbia,"Washington,   District of Columbia",Eastern
The Chandler Inn,790 North 4th Street HighlandsNorth Carolina 28741 ,888-378-6300,,,ThreeStar,north carolina,"Highlands,   North Carolina",Eastern
Mt Vernon Square Bed and Breakfast,"M Street NW 400, 400 WASHINGTON D.C. ",888-399-5496,,,ThreeStar,district of columbia,"Washington,   District of Columbia",Eastern
Autocamp Yosemite,6323 California 140 Midpines ,888-405-7553,,,ThreeStar,maryland,"California,   Maryland",Eastern
Brennan Beach RV Resort Caravan Park,80 Brennan Beach PulaskiNew York 13142 ,888-408-5093,,,All,new york,"Pulaski,   New York",Eastern
The Reserve,1322 North Tamiami Trail Sarasota ,888-417-3737,,,All,florida,"Sarasota,   Florida",Eastern
Golden Gables Inn,1814 White Mountain Highway North ConwayNew Hampshire 03860 ,888-422-5346,,,ThreeStar,new hampshire,"North Conway,   New Hampshire",Eastern
Bay Mills Resort and Casino,11386 West Lakeshore Drive BrimleyMichigan 49715 ,888-422-9645,,,All,michigan,"Sault Sainte Marie,   Michigan",Eastern
Solterra Resort Luxury Homes,see voucher comments for check in details DAVENPORT ,888-426-0472,,,FourStar,florida,"Davenport,   Florida",Eastern
Adair Country Inn & Restaurant,80 Guider Lane BethlehemNew Hampshire ,888-444-2600,,,FourStar,new hampshire,"Bethlehem,   New Hampshire",Eastern
Wine Country Inn & Cottages,1152 Lodi Lane Saint HelenaCalifornia 94574 ,888-465-4608,,,FourStar,maryland,"California,   Maryland",Eastern
The Inn at Stockbridge,30 East Street StockbridgeMassachusetts 01262 ,888-466-7865,,,FourStar,massachusetts,"Stockbridge,   Massachusetts",Eastern
Palm Key Village,49473 Highway 27 DavenportFlorida 33897 ,888-473-3809,,,ThreeStar,florida,"Davenport,   Florida",Eastern
777 6th Avenue Apartments,777 6th Avenue ManhattanNew York 10001 ,888-479-7209,,,FourStar,new york,"New York,   New York",Eastern
Special Dreams Vacations,Various Addresses Florida 34747 ,888-486-4132,,,TwoStar,florida,"Kissimmee,   Florida",Eastern
Benchmark Inn,6 Dyer Street ProvincetownMassachusetts 02657 ,888-487-7440,,,FourStar,massachusetts,"Provincetown,   Massachusetts",Eastern
Terra Verde Resort 4762,4762 Vero Beach Place  ,888-489-2461,,,ThreeStar,florida,"Kissimmee,   Florida",Eastern
Brights Creek,2222 Palmer Road Mill SpringHendersonvilleNC 28756 ,888-497-1195,,,ThreeStar,north carolina,"Asheville,   North Carolina",Eastern
Ocean Romance Dockside Bed & Breakfast Yacht,Goat Island Marina Dock S At 5 Marina Plaza Goat Island Marina-Dock SNewport02840 Rhode Island ,888-506-2991,,,FiveStar,rhode island,"Newport,   Rhode Island",Eastern
Union Street Inn,7 Union Street NantucketMassachusetts MA 02554 ,888-517-0707,,,FiveStar,massachusetts,"Nantucket,   Massachusetts",Eastern
North Bridge Inn,21 Monument Street ConcordMassachusetts 01742 ,888-530-0007,,,ThreeStar,massachusetts,"Boston,   Massachusetts",Eastern
Arnold Meadowmont Lodge,"Highway 4 2011, 2011 ARNOLD ",888-538-1222,,,ThreeStar,maryland,"California,   Maryland",Eastern
Gulfstream Hotel,"Lake Avenue, 1 PALM BEACH ",888-540-0669,,,ThreeStar,florida,"Lake Worth,   Florida",Eastern
Filigree Inn Bed & Breakfast,5406 Bristol Valley Road Route 64 CanandaiguaNew York 14424 ,888-560-7614,,,ThreeStar,new york,"Canandaigua,   New York",Eastern
Hyatt Centric Downtown Portland,601 Sw 11Th Avenue  ,888-591-1234,,,FourStar,indiana,"Muncie,   Indiana",Eastern
Monument Mountain Motel,247 Stockbridge Road  ,888-592-7314,,,TwoStar,massachusetts,"Great Barrington,   Massachusetts",Eastern
Key West Bahama House,415 Bahama Street Key WestFlorida 33040 ,888-600-0425,,,ThreeStar,florida,"Key West,   Florida",Eastern
Origin At Seahaven,15100 Front Beach Rd Panama City BeachFlorida 32413 ,888-607-0006,,,ThreeStar,florida,"Panama City,   Florida",Eastern
1 BR Ocean View at Marenas by Airpads,18683 Collins Ave.  ,888-608-2220,,,FourStar,florida,"Miami,   Florida",Eastern
Mountain Shadows by Grand Mammoth Resorts,2289 Sierra Nevada Rd Mammoth LakesCalifornia 93546 ,888-626-6648,,,ThreeStar,maryland,"California,   Maryland",Eastern
Holiday Inn Club Vacations at Bay Point Resort,4100 Marriott Dr Panama CityFL 32408 ,888-627-6522,,,ThreeStar,florida,"Panama City,   Florida",Eastern
1112 Ocean Boulevard Holiday Home,1112 Ocean Blvd  ,888-638-4750,,,ThreeStar,georgia,"Brunswick,   Georgia",Eastern
Fairfield Inn & Suites Niagara Falls,"643 Rainbow Boulevard Niagara Falls, NY 14303 ",888-643-0513,,,TwoStar,new york,"Niagara Falls,   New York",Eastern
Turtle Crawl Inn Longboat Key,4235 Gulf of Mexico Drive Longboat KeyFL 34228 ,888-651-0701,,,FourStar,florida,"Longboat Key,   Florida",Eastern
Beachwalk Villas,4103 North Ocean Boulevard North Myrtle Beach ,888-669-7853,,,ThreeStar,south carolina,"Myrtle Beach,   South Carolina",Eastern
The Mayhurst Inn,12460 Mayhurst Lane OrangeVirginia 22960 ,888-672-5597,,,All,virginia,"Charlottesville,   Virginia",Eastern
Nisqually Lodge,31609 State Route 706 East Ashford98304 Washington ,888-674-3554,,,FiveStar,district of columbia,"Washington,   District of Columbia",Eastern
Lost Mountain Lodge,303 Sunny View Drive Sequim98382 Washington ,888-683-2431,,,FourStar,district of columbia,"Washington,   District of Columbia",Eastern
LEGOLAND® Florida Hotel,One Legoland Way Winter HavenFlorida 33884 ,888-690-5346,,,FourStar,florida,"Winter Haven,   Florida",Eastern
Cobblestone Inn & Suites - Brookville,9135 U.S. 101  ,888-693-8262,,,ThreeStar,ohio,"Brookville,   Ohio",Eastern
Alecassandra 3 by Wagner Realty,2408 Avenue C Bradenton BeachFlorida 34217 ,888-725-4302,,,ThreeStar,florida,"Bradenton Beach,   Florida",Eastern
